Year,Region,gruppe.beschaeftigt,Value
2015.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2016.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2017.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2018.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2019.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2020.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2021.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],0.0
2022.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [abs.],4.0
2015.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2016.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2017.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2018.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2019.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2020.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2021.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],0.0
2022.0,Enzkreis,Zeichnungskommunen der Agenda 2030 [Anteil %],14.0
,,,
