Value,Disaggregation combinations using this value,Number of indicators
Busse,1,1
Diesel Pkw,1,1
Krafträder,1,1
Leichte Nutzfahrzeuge,1,1
Otto Pkw,1,1
Schwere Nutzfahrzeuge,1,1
