Indicator,Disaggregation combinations using this value
#13-3,2
#14-1,2
#15-1,2
#15-2,2
#15-3,2
#15-4,2
#15-5,2
#16-1,2
#16-2,2
#16-3,2
#16-4,2
#17-3,2
#8-2,2
