Value,Disaggregation combinations using this value,Number of indicators
Durchschnittspreise: Bauland [€/m²],1,1
Durchschnittspreise: Baureifes Land [€/m²],1,1
Fläche: Baureifes Land [1.000 m²],1,1
Preisindex für Bauland (Bund),1,1
