Year,Region,gruppe.beschaeftigt,Value
2011.0,Enzkreis,Straßenverkehrsunfälle,454.4
2012.0,Enzkreis,Straßenverkehrsunfälle,444.06
2013.0,Enzkreis,Straßenverkehrsunfälle,453.29
2014.0,Enzkreis,Straßenverkehrsunfälle,504.32
2015.0,Enzkreis,Straßenverkehrsunfälle,409.56
2016.0,Enzkreis,Straßenverkehrsunfälle,420.79
2017.0,Enzkreis,Straßenverkehrsunfälle,418.41
2018.0,Enzkreis,Straßenverkehrsunfälle,441.92
2019.0,Enzkreis,Straßenverkehrsunfälle,417.43
2011.0,Land BW,Straßenverkehrsunfälle,496.31
2012.0,Land BW,Straßenverkehrsunfälle,487.89
2013.0,Land BW,Straßenverkehrsunfälle,481.24
2014.0,Land BW,Straßenverkehrsunfälle,479.53
2015.0,Land BW,Straßenverkehrsunfälle,473.37
2016.0,Land BW,Straßenverkehrsunfälle,473.87
2017.0,Land BW,Straßenverkehrsunfälle,470.8
2018.0,Land BW,Straßenverkehrsunfälle,463.14
2019.0,Land BW,Straßenverkehrsunfälle,452.49
2011.0,Enzkreis,Verunglückte,442.39
2012.0,Enzkreis,Verunglückte,410.22
2013.0,Enzkreis,Verunglückte,403.5
2014.0,Enzkreis,Verunglückte,480.57
2015.0,Enzkreis,Verunglückte,402.93
2016.0,Enzkreis,Verunglückte,408.63
2017.0,Enzkreis,Verunglückte,406.31
2018.0,Enzkreis,Verunglückte,393.66
2019.0,Enzkreis,Verunglückte,400.89
2011.0,Land BW,Verunglückte,454.59
2012.0,Land BW,Verunglückte,445.52
2013.0,Land BW,Verunglückte,433.59
2014.0,Land BW,Verunglückte,447.1
2015.0,Land BW,Verunglückte,446.87
2016.0,Land BW,Verunglückte,442.92
2017.0,Land BW,Verunglückte,440.04
2018.0,Land BW,Verunglückte,438.46
2019.0,Land BW,Verunglückte,425.57
2011.0,Enzkreis,Getötete,3.7
2012.0,Enzkreis,Getötete,3.1
2013.0,Enzkreis,Getötete,2.6
2014.0,Enzkreis,Getötete,7.2
2015.0,Enzkreis,Getötete,3.1
2016.0,Enzkreis,Getötete,3.6
2017.0,Enzkreis,Getötete,3.5
2018.0,Enzkreis,Getötete,4.0
2019.0,Enzkreis,Getötete,4.0
2011.0,Land BW,Getötete,4.59
2012.0,Land BW,Getötete,4.46
2013.0,Land BW,Getötete,4.37
2014.0,Land BW,Getötete,4.35
2015.0,Land BW,Getötete,4.44
2016.0,Land BW,Getötete,3.7
2017.0,Land BW,Getötete,3.67
2018.0,Land BW,Getötete,3.97
2019.0,Land BW,Getötete,3.94
,,,
