Year,Region,gruppe.beschaeftigt,Value
2016,Enzkreis,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,11
2017,Enzkreis,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,11
2018,Enzkreis,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,12
2019,Enzkreis,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,17
2020,Enzkreis,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,20
2016,Enzkreis,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,8
2017,Enzkreis,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,8
2018,Enzkreis,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,14
2019,Enzkreis,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,19
2020,Enzkreis,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,19
