Year,Region,WIN-Charta Baden-Württemberg,Value
2014,Enzkreis,Unterstützer der WIN-Charta,1
2015,Enzkreis,Unterstützer der WIN-Charta,1
2016,Enzkreis,Unterstützer der WIN-Charta,1
2017,Enzkreis,Unterstützer der WIN-Charta,1
2018,Enzkreis,Unterstützer der WIN-Charta,1
2019,Enzkreis,Unterstützer der WIN-Charta,1
2020,Enzkreis,Unterstützer der WIN-Charta,1
2021,Enzkreis,Unterstützer der WIN-Charta,1
2022,Enzkreis,Unterstützer der WIN-Charta,1
,,,
,,,
