Year,Region,gruppe.beschaeftigt,Value
2008,Enzkreis,Unzerschnittene Freiraumflächen [>50 km2],0
2012,Enzkreis,Unzerschnittene Freiraumflächen [>50 km2],0
2016,Enzkreis,Unzerschnittene Freiraumflächen [>50 km2],0
2020,Enzkreis,Unzerschnittene Freiraumflächen [>50 km2],0
2008,Land BW,Unzerschnittene Freiraumflächen [>50 km2],0
2012,Land BW,Unzerschnittene Freiraumflächen [>50 km2],0
2016,Land BW,Unzerschnittene Freiraumflächen [>50 km2],0
2020,Land BW,Unzerschnittene Freiraumflächen [>50 km2],0
,,,
